scenario,year,state,fuel_cat,regulated,regulated_gas_cap,unitid,co2_emissions_total_million_metric_tons,generation_total_gwh
,,,,,,count,sum,sum
integrated_proposal,2028.0,Maine,natural_gas,False,False,2,0.4272111030994087,689.642932993
integrated_proposal,2028.0,Maryland,coal,True,False,1,0.5945774060088496,574.005680943
integrated_proposal,2028.0,Maryland,natural_gas,False,False,18,0.45409726572141795,940.1600757539001
integrated_proposal,2028.0,Maryland,natural_gas,False,True,3,0.04722861258510931,80.83017683199999
integrated_proposal,2028.0,Maryland,natural_gas,True,True,3,6.822298728478633,18213.449301111
integrated_proposal,2028.0,Massachusetts,natural_gas,False,False,31,1.3764573471075852,2949.1705555534445
integrated_proposal,2028.0,Massachusetts,natural_gas,False,True,7,1.5743721204420953,3961.325909959
integrated_proposal,2028.0,Massachusetts,natural_gas,True,True,1,1.3736856673582771,3669.016570282
integrated_proposal,2028.0,Michigan,coal,True,False,5,18.705217922049133,18502.99985199
integrated_proposal,2028.0,Michigan,natural_gas,False,False,39,1.8351592487006054,3850.7083853238096
integrated_proposal,2028.0,Michigan,natural_gas,False,True,9,1.7232084067975904,3443.475367935
integrated_proposal,2028.0,Michigan,natural_gas,True,True,7,19.247108375558568,50619.59761491452
integrated_proposal,2028.0,Minnesota,coal,True,False,5,3.225232621544377,3088.4603389989998
integrated_proposal,2028.0,Minnesota,natural_gas,False,False,30,2.535966259701433,6132.362617993474
integrated_proposal,2028.0,Minnesota,natural_gas,False,True,6,0.7416042821150028,1813.733032266
integrated_proposal,2028.0,Minnesota,natural_gas,True,True,1,0.535445083855421,1427.5034036
integrated_proposal,2028.0,Mississippi,coal,True,False,2,0.7769908815781218,699.683882848
integrated_proposal,2028.0,Mississippi,natural_gas,False,False,23,2.4437900395870753,7078.477937443293
integrated_proposal,2028.0,Mississippi,natural_gas,False,True,4,0.6899556715166233,2310.7767716890003
integrated_proposal,2028.0,Mississippi,natural_gas,True,True,8,17.157769156537547,44965.646352137
integrated_proposal,2028.0,Missouri,coal,True,False,8,29.026621092766927,30296.543124395997
integrated_proposal,2028.0,Missouri,natural_gas,False,False,39,0.3583714375762586,398.819031473
integrated_proposal,2028.0,Missouri,natural_gas,False,True,5,2.901663349896938,6087.0607731528435
integrated_proposal,2028.0,Missouri,natural_gas,True,True,1,0.8084920625255485,2025.26861886
integrated_proposal,2028.0,Montana,coal,True,False,4,12.26733039308291,11396.584429584
integrated_proposal,2028.0,Montana,natural_gas,False,False,6,0.006538221814863193,11.457890135
integrated_proposal,2028.0,Nebraska,coal,True,False,13,24.727920888147086,24436.342109161
integrated_proposal,2028.0,Nebraska,natural_gas,False,False,19,0.03207665807808852,67.653280541
integrated_proposal,2028.0,Nebraska,natural_gas,False,True,2,0.006692606872201294,10.357918863
integrated_proposal,2028.0,Nevada,coal,True,False,1,0.00578809059232868,5.631823732
integrated_proposal,2028.0,Nevada,natural_gas,False,False,15,0.6183280192539017,1308.589655184
integrated_proposal,2028.0,Nevada,natural_gas,False,True,5,3.4970552548305984,8486.784718081999
integrated_proposal,2028.0,Nevada,natural_gas,True,True,2,2.8960908688436655,7693.081056816
integrated_proposal,2028.0,New Hampshire,natural_gas,False,False,1,0.0011393438337985637,3.3164165846129907
integrated_proposal,2028.0,New Hampshire,natural_gas,False,True,3,1.2138732727439887,3083.743358766
integrated_proposal,2028.0,New Jersey,coal,True,False,1,0.0,0.0
integrated_proposal,2028.0,New Jersey,natural_gas,False,False,36,0.6397382342903807,1348.4094599222333
integrated_proposal,2028.0,New Jersey,natural_gas,False,True,6,3.275085047132653,8115.417015483
integrated_proposal,2028.0,New Jersey,natural_gas,True,True,8,11.118916798029128,27356.103200218
integrated_proposal,2028.0,New Mexico,coal,True,False,2,8.5481807591003,9154.999929406
integrated_proposal,2028.0,New Mexico,natural_gas,False,False,16,1.175589761304843,2263.576545861
integrated_proposal,2028.0,New Mexico,natural_gas,False,True,1,0.4111959904530273,1031.9659027
integrated_proposal,2028.0,New Mexico,natural_gas,True,True,1,1.7241204537908175,4157.417161032
integrated_proposal,2028.0,New York,natural_gas,False,False,102,5.80377887104428,11593.960646824236
integrated_proposal,2028.0,New York,natural_gas,False,True,18,2.3490829891880103,4609.47855959
integrated_proposal,2028.0,New York,natural_gas,True,True,9,16.43560796909589,42703.704626538
integrated_proposal,2028.0,North Carolina,coal,True,False,6,8.83469692717525,10209.498145596
integrated_proposal,2028.0,North Carolina,natural_gas,False,False,11,0.4698989763179718,1239.8659174717034
integrated_proposal,2028.0,North Carolina,natural_gas,False,True,12,3.096855914409499,7482.6830118299995
integrated_proposal,2028.0,North Carolina,natural_gas,True,True,8,19.698240553915053,55625.45475004053
integrated_proposal,2028.0,North Dakota,coal,True,False,10,25.74488686126477,23773.29680961
integrated_proposal,2028.0,North Dakota,natural_gas,False,False,6,0.024234271110640127,44.037167009
integrated_proposal,2028.0,Ohio,coal,True,False,13,30.119958159090764,31736.227304727
integrated_proposal,2028.0,Ohio,natural_gas,False,False,25,0.4418824300478146,699.845587325
integrated_proposal,2028.0,Ohio,natural_gas,False,True,11,0.7882498508278919,1344.352233818
integrated_proposal,2028.0,Ohio,natural_gas,True,True,13,36.79694857814607,102718.66650860899
integrated_proposal,2028.0,Oklahoma,coal,True,False,2,0.4294711127406127,363.859539147
integrated_proposal,2028.0,Oklahoma,natural_gas,False,False,24,0.7438849605208583,1635.406027103
integrated_proposal,2028.0,Oklahoma,natural_gas,False,True,10,2.484683880733072,6425.253680771
integrated_proposal,2028.0,Oklahoma,natural_gas,True,True,6,8.082723097653448,20882.765246304
integrated_proposal,2028.0,Oregon,natural_gas,False,False,8,0.930594359803344,2469.839704783
integrated_proposal,2028.0,Oregon,natural_gas,False,True,7,2.3639421371846865,5907.570052998
integrated_proposal,2028.0,Pennsylvania,coal,True,False,13,2.5102852190997966,2281.694141855
integrated_proposal,2028.0,Pennsylvania,natural_gas,False,False,41,3.1841961346686922,5863.890614434063
integrated_proposal,2028.0,Pennsylvania,natural_gas,False,True,10,7.992174084313086,17054.944875066998
integrated_proposal,2028.0,Pennsylvania,natural_gas,True,True,19,44.40307501728066,117621.97663092916
integrated_proposal,2028.0,Rhode Island,natural_gas,False,False,7,0.3488985279440654,890.9475717410832
integrated_proposal,2028.0,Rhode Island,natural_gas,False,True,1,0.09964325750086954,232.50152475
integrated_proposal,2028.0,Rhode Island,natural_gas,True,True,1,1.0147806269477941,2692.077732169
integrated_proposal,2028.0,South Carolina,coal,True,False,7,7.611425104818538,7969.644642619
integrated_proposal,2028.0,South Carolina,natural_gas,False,False,16,0.141455171445034,278.752983111
integrated_proposal,2028.0,South Carolina,natural_gas,False,True,6,2.4016201033575095,5959.212352503
integrated_proposal,2028.0,South Carolina,natural_gas,True,True,3,11.190089791835693,32117.222722504426
integrated_proposal,2028.0,South Dakota,coal,True,False,1,3.3889302734521833,3285.667510464
integrated_proposal,2028.0,South Dakota,natural_gas,False,False,9,0.4112459051970249,990.2732681690001
integrated_proposal,2028.0,Tennessee,coal,True,False,3,5.2239094653238425,5359.057771938
integrated_proposal,2028.0,Tennessee,natural_gas,False,False,6,0.06369505647619908,112.49189578144258
integrated_proposal,2028.0,Tennessee,natural_gas,False,True,5,0.16364649796329403,259.496656874
integrated_proposal,2028.0,Tennessee,natural_gas,True,True,4,8.229581286487708,22173.81103633858
integrated_proposal,2028.0,Texas,coal,True,False,10,22.40253869282374,22547.480180263
integrated_proposal,2028.0,Texas,natural_gas,False,False,110,9.728282727755538,18982.961051695
integrated_proposal,2028.0,Texas,natural_gas,False,True,56,17.077789827615916,41121.732730747
integrated_proposal,2028.0,Texas,natural_gas,True,True,29,64.59337937320858,148914.375776937
integrated_proposal,2028.0,Utah,coal,True,False,7,9.444863762488813,9505.621350048
integrated_proposal,2028.0,Utah,natural_gas,False,False,17,0.15811441409986227,268.176862982
integrated_proposal,2028.0,Utah,natural_gas,True,True,3,9.40331652186335,26120.805709938002
integrated_proposal,2028.0,Vermont,natural_gas,False,False,2,0.00332257482303264,7.033125316859378
integrated_proposal,2028.0,Virginia,coal,True,False,3,2.9759646625040626,3223.0535799239997
integrated_proposal,2028.0,Virginia,natural_gas,False,False,12,0.42001433273833505,946.3227961761606
integrated_proposal,2028.0,Virginia,natural_gas,False,True,12,1.9868164598587825,4241.454586042
integrated_proposal,2028.0,Virginia,natural_gas,True,True,7,19.23535109826793,51115.465412649
integrated_proposal,2028.0,Washington,natural_gas,False,False,15,1.1783740832533556,2907.556091812
integrated_proposal,2028.0,Washington,natural_gas,False,True,2,0.30010344965035113,740.380801388
integrated_proposal,2028.0,West Virginia,coal,True,False,15,50.54903979556561,53854.895377176
integrated_proposal,2028.0,West Virginia,natural_gas,False,False,1,0.3943361214096215,1165.6778693020544
integrated_proposal,2028.0,West Virginia,natural_gas,False,True,3,0.2716600870027851,468.435315188
integrated_proposal,2028.0,Wisconsin,coal,True,False,8,12.546096848631763,13043.551970388
integrated_proposal,2028.0,Wisconsin,natural_gas,False,False,25,1.3804569353174958,2906.601270448
integrated_proposal,2028.0,Wisconsin,natural_gas,False,True,7,0.47480845463072585,892.6488077616101
integrated_proposal,2028.0,Wisconsin,natural_gas,True,True,4,8.196601065067943,21794.469180273
integrated_proposal,2028.0,Wyoming,coal,True,False,13,22.909540111033493,22355.776095925
integrated_proposal,2028.0,Wyoming,natural_gas,False,False,14,0.06478598158349055,106.50521540400001
integrated_proposal,2030.0,Alabama,coal,True,False,5,4.690904574060697,5085.197014261999
integrated_proposal,2030.0,Alabama,natural_gas,False,False,20,4.245913216423244,10513.199578627413
integrated_proposal,2030.0,Alabama,natural_gas,False,True,6,1.5219558614158604,2630.580260195
integrated_proposal,2030.0,Alabama,natural_gas,True,True,12,30.423307078821523,77750.706976013
integrated_proposal,2030.0,Arizona,coal,True,False,3,1.254352566217415,4607.60731835
integrated_proposal,2030.0,Arizona,natural_gas,False,False,29,0.8189477997445392,1977.552364481
integrated_proposal,2030.0,Arizona,natural_gas,False,True,10,3.783931697108506,9293.522267687
integrated_proposal,2030.0,Arizona,natural_gas,True,True,9,15.702948634779222,40264.748152331
integrated_proposal,2030.0,Arkansas,natural_gas,False,False,13,1.0255200175847807,1854.84709488
integrated_proposal,2030.0,Arkansas,natural_gas,False,True,2,0.21099880983548108,390.820243888
integrated_proposal,2030.0,Arkansas,natural_gas,True,True,5,11.79085235963374,29863.745383636
integrated_proposal,2030.0,California,coal,True,False,1,0.26653007998868833,252.105539376
integrated_proposal,2030.0,California,natural_gas,False,False,188,4.010024501316303,14185.2501342
integrated_proposal,2030.0,California,natural_gas,False,True,23,8.380830084067787,20346.20393374
integrated_proposal,2030.0,California,natural_gas,True,True,14,11.891932034985416,51793.765966772
integrated_proposal,2030.0,Colorado,coal,True,False,7,0.6716731365705851,696.404623739
integrated_proposal,2030.0,Colorado,natural_gas,False,False,30,0.846087381761112,1909.159082514
integrated_proposal,2030.0,Colorado,natural_gas,False,True,3,0.672279038224737,1636.169890816
integrated_proposal,2030.0,Colorado,natural_gas,True,True,5,5.908052560722486,18813.391476495002
integrated_proposal,2030.0,Connecticut,natural_gas,False,False,20,0.4866136279087079,939.4733229159999
integrated_proposal,2030.0,Connecticut,natural_gas,False,True,5,1.7556504913353237,4612.68030111
integrated_proposal,2030.0,Connecticut,natural_gas,True,True,2,2.6317381888582805,7029.185244492
integrated_proposal,2030.0,Delaware,natural_gas,False,False,11,0.23026520150073998,428.0861933867104
integrated_proposal,2030.0,Delaware,natural_gas,False,True,3,1.4723134501023485,3420.993668186
integrated_proposal,2030.0,Delaware,natural_gas,True,True,1,0.8799065941758487,2350.167837552
integrated_proposal,2030.0,District of Columbia,natural_gas,False,False,2,0.00861088413027544,17.353978687999998
integrated_proposal,2030.0,Florida,coal,True,False,6,1.756189225225488,2439.917522785
integrated_proposal,2030.0,Florida,natural_gas,False,False,52,4.736533836322984,10823.527243470267
integrated_proposal,2030.0,Florida,natural_gas,False,True,21,10.965734521911907,25479.156009893
integrated_proposal,2030.0,Florida,natural_gas,True,True,19,70.44763025020808,188483.406628492
integrated_proposal,2030.0,Georgia,coal,True,False,1,2.683251257419086,2919.283285391
integrated_proposal,2030.0,Georgia,natural_gas,False,False,16,0.5329552446913831,912.0443812163055
integrated_proposal,2030.0,Georgia,natural_gas,False,True,13,4.274456667250379,7275.886857107001
integrated_proposal,2030.0,Georgia,natural_gas,True,True,11,22.675099821821807,59416.11035868
integrated_proposal,2030.0,Idaho,natural_gas,False,False,6,1.9075217616650813,4735.691753892999
integrated_proposal,2030.0,Idaho,natural_gas,True,True,1,2.9578978049476143,8743.698138936
integrated_proposal,2030.0,Illinois,coal,True,False,8,1.1594988754662916,8983.604901421999
integrated_proposal,2030.0,Illinois,natural_gas,False,False,39,1.9214931718464114,3535.730383803499
integrated_proposal,2030.0,Illinois,natural_gas,False,True,18,1.3344328335151152,2266.631579848
integrated_proposal,2030.0,Illinois,natural_gas,True,True,5,12.824002027430687,34826.124944957
integrated_proposal,2030.0,Indiana,coal,True,False,17,11.864998753560823,15704.930861869
integrated_proposal,2030.0,Indiana,natural_gas,False,False,31,2.4475575901267588,4670.850226233341
integrated_proposal,2030.0,Indiana,natural_gas,False,True,4,3.5402549339858185,6633.798644980105
integrated_proposal,2030.0,Indiana,natural_gas,True,True,6,10.606903129816395,26662.505399328
integrated_proposal,2030.0,Iowa,coal,True,False,11,6.669302953729163,6647.087997435
integrated_proposal,2030.0,Iowa,natural_gas,False,False,33,0.4906523744057245,988.6619875843041
integrated_proposal,2030.0,Iowa,natural_gas,False,True,2,1.091998886764316,1961.2874839740002
integrated_proposal,2030.0,Iowa,natural_gas,True,True,3,4.775803438239698,12319.04433672
integrated_proposal,2030.0,Kansas,coal,True,False,1,0.0,0.0
integrated_proposal,2030.0,Kansas,natural_gas,False,False,33,0.43771411944954,1007.704871965
integrated_proposal,2030.0,Kansas,natural_gas,False,True,2,0.058655912385843924,94.30393504
integrated_proposal,2030.0,Kentucky,coal,True,False,17,5.609170042570065,11444.486591103
integrated_proposal,2030.0,Kentucky,natural_gas,False,False,15,1.6736213242294533,3633.075770769944
integrated_proposal,2030.0,Kentucky,natural_gas,False,True,9,1.1637777096646098,1876.9914799239998
integrated_proposal,2030.0,Kentucky,natural_gas,True,True,3,13.232467419004635,37551.76926552
integrated_proposal,2030.0,Louisiana,coal,True,False,3,0.15494469001856004,122.147204192
integrated_proposal,2030.0,Louisiana,natural_gas,False,False,32,2.039399405294475,3785.757069015
integrated_proposal,2030.0,Louisiana,natural_gas,False,True,10,1.486823244613966,2681.757799417
integrated_proposal,2030.0,Louisiana,natural_gas,True,True,14,33.41567166268053,86688.785037187
integrated_proposal,2030.0,Maine,natural_gas,False,False,2,0.21400234382447209,345.042457871
integrated_proposal,2030.0,Maryland,coal,True,False,1,0.3266621515043749,315.359999922
integrated_proposal,2030.0,Maryland,natural_gas,False,False,18,0.6593477332575524,1314.9766777069
integrated_proposal,2030.0,Maryland,natural_gas,False,True,3,0.0607002372125454,104.43849103299999
integrated_proposal,2030.0,Maryland,natural_gas,True,True,3,7.227855633010929,19296.662905416
integrated_proposal,2030.0,Massachusetts,natural_gas,False,False,31,1.3856884513328858,2970.243680074912
integrated_proposal,2030.0,Massachusetts,natural_gas,False,True,7,1.542665028339916,3897.800793199
integrated_proposal,2030.0,Massachusetts,natural_gas,True,True,1,1.4473619866199283,3865.800771087
integrated_proposal,2030.0,Michigan,coal,True,False,4,3.825502676307659,10154.866329689
integrated_proposal,2030.0,Michigan,natural_gas,False,False,39,2.3141118179977624,4618.093263095557
integrated_proposal,2030.0,Michigan,natural_gas,False,True,8,1.690277885986114,2952.389827623
integrated_proposal,2030.0,Michigan,natural_gas,True,True,8,22.87598262071017,58587.191319616526
integrated_proposal,2030.0,Minnesota,coal,True,False,4,0.41881533162075113,407.575470271
integrated_proposal,2030.0,Minnesota,natural_gas,False,False,30,4.154029458039709,10065.897827333474
integrated_proposal,2030.0,Minnesota,natural_gas,False,True,5,0.0306605217715576,50.845719723
integrated_proposal,2030.0,Minnesota,natural_gas,True,True,2,1.9703984861976998,5097.221340143
integrated_proposal,2030.0,Mississippi,coal,True,False,2,0.4278126629038865,385.247281801
integrated_proposal,2030.0,Mississippi,natural_gas,False,False,23,2.7619309808696317,8323.095084788654
integrated_proposal,2030.0,Mississippi,natural_gas,False,True,3,0.7328126686816263,1258.6730788730001
integrated_proposal,2030.0,Mississippi,natural_gas,True,True,9,18.395085083066494,49836.14555792
integrated_proposal,2030.0,Missouri,coal,True,False,4,5.541686069255418,5779.847998425001
integrated_proposal,2030.0,Missouri,natural_gas,False,False,37,0.4778396031741389,591.5945072860001
