,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons
capacity_factor_bucket,,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
capacity_mw_bucket,year,,,,,,,,,,,,,,,,,,,,
1200-2399,2050,0.34705875731590535,0.9370470318500967,1.836843164959788,0.7432039784546476,0.8290765073528041,2.3482376294187572,1.36525653519807,1.670408339889487,0.0,13.899224316561568,6.49399736765011,0.0,0.0,0.0,0.0,0.0,4.724171823203715,0.0,0.0,0.0
1200-2399,2055,0.2706509853700643,0.7745188366897744,0.9117505463352448,0.0,0.8290765073528032,2.2632237087399742,0.0,1.6652083100890858,0.0,15.983834778759277,6.4939973674615965,0.0,0.0,0.0,0.0,0.0,11.499502791691437,0.0,0.0,0.0
2400-3599,2028,0.0,0.0,1.7649646989268093,0.0,0.0,0.0,0.0,0.0,0.0,4.47604003746762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2030,0.6431138500953896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.724088899871153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.532029310846484,0.0,0.0,0.0
3600+,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.532029310846484,0.0,0.0,0.0
3600+,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199324136262234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19932413625211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199324135860306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199324135918048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199324136398339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New,2028,0.20895306945425562,2.9505608292896786,1.8933677170003946,0.3764897669141639,0.0010931025555396164,0.021841026815404816,0.0,0.0,0.0,0.0,0.0,0.08303988855838608,0.0,4.7692259227168,0.0004396607063616345,0.053440205919910805,0.0,93.6298843792216,0.0,0.0
New,2030,0.1509537445214181,0.1519655263798233,0.3567245849729701,5.904725524480047,3.348385640610969,0.025505350033125495,0.13067102902809868,0.0017137572213787125,0.0,0.0,0.0,0.07065888534153641,0.01287895028623537,0.0,0.0,0.0,0.00048772150961313065,98.6237995223014,0.0,0.0
New,2035,1.3641990627249656,4.8553041611614605,0.5637841171525583,2.333676648565886,2.8942218719624773,0.0012271976619473814,0.0,0.03055761879155565,0.031500329681365874,3.2041702231996476,7.031544549819323,0.056859747950322274,0.0,1.002574218144455,0.0,62.16587190150348,0.0,2.2769633932323603,0.0,0.0
New,2040,4.860625505583199,1.5720323765616715,1.0788893660269014,4.0598661484336445,0.1928632324814604,0.0016414796732413975,0.0,0.0,0.03967439510342271,8.633369864571586,39.75890977285735,0.0762258123352092,0.0003710365743557669,0.0,0.0,0.0,0.0,2.276492917421426,0.0,0.0
New,2045,8.778841017201149,3.575373951930973,2.2143031776777047,1.7660391405945584,2.514838016462568,0.1004371755101328,0.03243781328189168,0.0022434352562545395,0.0,24.244514908436646,24.138431064902935,0.003480054160972865,0.00036828682690605443,0.1205106713665978,0.0,0.0,0.9373743007497205,1.1355181795566964,0.0,0.0
New,2050,9.863702471887317,7.758454238347847,0.031564460803622574,5.429555418159225,4.445448576244705,0.0,0.0018692304946197563,1.7434547769678204,1.595637559916491,23.097768706935483,21.080957579358856,0.003349583631417703,0.007657764504459049,0.7838748510801076,0.8113181443516957,0.02730442710246518,0.0,0.26748309808704246,0.0,0.0
New,2055,13.836150514624856,11.28117341715454,0.030047448672508116,11.286194995664728,0.0,0.0,2.9498852507322564,0.48633038268331985,4.080740721746176,32.87112365054045,18.891115106718082,0.0,0.4010662944536758,0.8748512692370815,0.2538617963394741,0.0271901583433859,0.0,0.26748309808704246,0.0,0.0
