year,state,2025,2030,2032,2035,2045,2050,has_ghg_target
2005,AK,,,,,,,False
2005,AL,,,,,,,False
2005,AR,,,,,,,False
2005,AZ,,,,,,,False
2005,CA,,,,,,,False
2005,CO,,,,,,,False
2005,CT,,,,,,,False
2005,DC,,,,,,,False
2005,DE,,,,,,,False
2005,FL,,,,,,,False
2005,GA,,,,,,,False
2005,HI,,,,,,,False
2005,IA,,,,,,,False
2005,ID,,,,,,,False
2005,IL,,,,,,,False
2005,IN,,,,,,,False
2005,KS,,,,,,,False
2005,KY,,,,,,,False
2005,LA,,,,,,,False
2005,MA,,,,,,,False
2005,MD,,,,,,,False
2005,ME,,,,,,,False
2005,MI,,,,,,,False
2005,MN,,,,,,,False
2005,MO,,,,,,,False
2005,MS,,,,,,,False
2005,MT,,,,,,,False
2005,NC,,,,,,,False
2005,ND,,,,,,,False
2005,NE,,,,,,,False
2005,NH,,,,,,,False
2005,NJ,,,,,,,False
2005,NM,,,,,,,False
2005,NV,,,,,,,False
2005,NY,,,,,,,False
2005,OH,,,,,,,False
2005,OK,,,,,,,False
2005,OR,,,,,,,False
2005,PA,,,,,,,False
2005,RI,,,,,,,False
2005,SC,,,,,,,False
2005,SD,,,,,,,False
2005,TN,,,,,,,False
2005,TX,,,,,,,False
2005,UT,,,,,,,False
2005,VA,,,,,,,False
2005,VT,,,,,,,False
2005,WA,,,,,,,False
2005,WI,,,,,,,False
2005,WV,,,,,,,False
2005,WY,,,,,,,False
2006,AK,,,,,,,False
2006,AL,,,,,,,False
2006,AR,,,,,,,False
2006,AZ,,,,,,,False
2006,CA,,,,,,,False
2006,CO,,,,,,,False
2006,CT,,,,,,,False
2006,DC,,,,,,,False
2006,DE,,,,,,,False
2006,FL,,,,,,,False
2006,GA,,,,,,,False
2006,HI,,,,,,,False
2006,IA,,,,,,,False
2006,ID,,,,,,,False
2006,IL,,,,,,,False
2006,IN,,,,,,,False
2006,KS,,,,,,,False
2006,KY,,,,,,,False
2006,LA,,,,,,,False
2006,MA,,,,,,,False
2006,MD,,,,,,,False
2006,ME,,,,,,,False
2006,MI,,,,,,,False
2006,MN,,,,,,,False
2006,MO,,,,,,,False
2006,MS,,,,,,,False
2006,MT,,,,,,,False
2006,NC,,,,,,,False
2006,ND,,,,,,,False
2006,NE,,,,,,,False
2006,NH,,,,,,,False
2006,NJ,,,,,,,False
2006,NM,,,,,,,False
2006,NV,,,,,,,False
2006,NY,,,,,,,False
2006,OH,,,,,,,False
2006,OK,,,,,,,False
2006,OR,,,,,,,False
2006,PA,,,,,,,False
2006,RI,,,,,,,False
2006,SC,,,,,,,False
2006,SD,,,,,,,False
2006,TN,,,,,,,False
2006,TX,,,,,,,False
2006,UT,,,,,,,False
2006,VA,,,,,,,False
2006,VT,,,,,,,False
2006,WA,,,,,,,False
2006,WI,,,,,,,False
2006,WV,,,,,,,False
2006,WY,,,,,,,False
2007,AK,,,,,,,False
2007,AL,,,,,,,False
2007,AR,,,,,,,False
2007,AZ,,,,,,,False
2007,CA,,,,,,,False
2007,CO,,,,,,,False
2007,CT,,,,,,,False
2007,DC,,,,,,,False
2007,DE,,,,,,,False
2007,FL,,,,,,,False
2007,GA,,,,,,,False
2007,HI,,,,,,,False
2007,IA,,,,,,,False
2007,ID,,,,,,,False
2007,IL,,,,,,,False
2007,IN,,,,,,,False
2007,KS,,,,,,,False
2007,KY,,,,,,,False
2007,LA,,,,,,,False
2007,MA,,,,,,,False
2007,MD,,,,,,,False
2007,ME,,,,,,,False
2007,MI,,,,,,,False
2007,MN,,0.3,,,,0.8,True
2007,MO,,,,,,,False
2007,MS,,,,,,,False
2007,MT,,,,,,,False
2007,NC,,,,,,,False
2007,ND,,,,,,,False
2007,NE,,,,,,,False
2007,NH,,,,,,,False
2007,NJ,,0.5,,,,0.8,True
2007,NM,,,,,,,False
2007,NV,,,,,,,False
2007,NY,,,,,,,False
2007,OH,,,,,,,False
2007,OK,,,,,,,False
2007,OR,,,,,,,False
2007,PA,,,,,,,False
2007,RI,,,,,,,False
2007,SC,,,,,,,False
2007,SD,,,,,,,False
2007,TN,,,,,,,False
2007,TX,,,,,,,False
2007,UT,,,,,,,False
2007,VA,,,,,,,False
2007,VT,,,,,,,False
2007,WA,,,,,,,False
2007,WI,,,,,,,False
2007,WV,,,,,,,False
2007,WY,,,,,,,False
2008,AK,,,,,,,False
2008,AL,,,,,,,False
2008,AR,,,,,,,False
2008,AZ,,,,,,,False
2008,CA,,,,,,,False
2008,CO,,,,,,,False
2008,CT,,,,,,,False
2008,DC,,,,,,,False
2008,DE,,,,,,,False
2008,FL,,,,,,,False
2008,GA,,,,,,,False
2008,HI,,,,,,,False
2008,IA,,,,,,,False
2008,ID,,,,,,,False
2008,IL,,,,,,,False
2008,IN,,,,,,,False
2008,KS,,,,,,,False
